N,Country,City ,State,Latitude ,Longitude ,Website
85,USA,Monterey (County),California,36.601633,-121.888659,https://www.biobot.io/data
85,USA,Multnomah (County),Oregon,45.50617,-122.667678,https://www.biobot.io/data
85,USA,Nantucket (County),Massachusetts,41.276193,-70.143865,https://www.biobot.io/data
85,USA,Nassau (County),New York,40.735359,-73.571561,https://www.biobot.io/data
85,USA,New Castle (County),Delaware,39.546088,-75.665888,https://www.biobot.io/data
85,USA,Peoria (County),Illinois,40.700313,-89.555628,https://www.biobot.io/data
85,USA,Placer (County),California,39.061398,-120.830995,https://www.biobot.io/data
85,USA,Ramsey (County),Minnesota,45.037367,-93.122861,https://www.biobot.io/data
85,USA,Sacramento (County),California,38.590265,-121.469957,https://www.biobot.io/data
85,USA,Shelby (County),Tennessee,35.15889,-90.063042,https://www.biobot.io/data
85,USA,Stafford (County),Virginia,38.374765,-77.359461,https://www.biobot.io/data
85,USA,Steuben (County),Indiana,41.629026,-85.065672,https://www.biobot.io/data
85,USA,Suffolk (County),Massachusetts,42.358143,-71.04061,https://www.biobot.io/data
85,USA,Union (County),New Jersey,40.680387,-74.383628,https://www.biobot.io/data
86,USA,Erie (County),New York,42.9024,-78.8662,http://erie.gov/covid19-wastewater/
87,Germany,Berlin,Germany ,52.52,13.405,https://bimsbstatic.mdc-berlin.de/akalin/AAkalin_pathogenomics/sarscov2_ww_reports/210528_wastewaterall_pigxsarscov2ww_default/index.html
88,USA,,Wyoming ,43.076,-107.2903,https://covidwastewatermonitor.wyo.gov/
89,India,Bangalore,Karnataka,12.97828,77.58744,https://storymaps.arcgis.com/stories/c42be68c85634d19a5d92873a10bda66
90,Belgium,,,50.5039,4.4699,https://datastudio.google.com/embed/u/0/reporting/c14a5cfc-cab7-4812-848c-0369173148ab/page/p_ggbfgsqtmc
91,USA,Lawrence,Kansas,38.9717,-95.2353,https://experience.arcgis.com/experience/4456bae8a38f4b6180e008477382fff9/page/page_0/
92,USA,Houston ,Texas,29.7604,-95.3698,https://covidwwtp.spatialstudieslab.org/
93,USA,San Bernardino,California,34.07730082,-117.2896817,https://datastudio.google.com/u/0/reporting/430e67c8-acaf-4574-a2d4-48d0b665ab05/page/jMhOC
94,New Zealand ,,,-40.9006,174.886,https://www.esr.cri.nz/our-expertise/covid-19-response/wastewater-testing-results/
95,Canada ,,Newfoundland Labrador,53.1355,-57.6604,https://www.gov.nl.ca/ecc/waterres/wastewater-surveillance-for-covid-19-virus/ 
96,Canada,Durham,Ontario ,43.9368,-78.9288,https://app.powerbi.com/view?r=eyJrIjoiMjU2MmEzM2QtNDliNS00ZmIxLWI5MzYtOTU0NTI1YmU5MjQ2IiwidCI6IjUyZDdjOWMyLWQ1NDktNDFiNi05YjFmLTlkYTE5OGRjM2YxNiJ9 
97,South Africa,Johannesburg,Gauteng,-26.13141431,28.11777887,https://www.nicd.ac.za/diseases-a-z-index/disease-index-covid-19/surveillance-reports/weekly-reports/wastewater-based-epidemiology-for-sars-cov-2-in-south-africa/
98,Canada,"Barrie, Collingwood, Midland, Orillia",Ontario ,44.3894,-79.6903,https://www.simcoemuskokahealthstats.org/topics/infectious-diseases/a-h/covid-19/covid-19-wastewater-surveillance 
99,Austria ,,,47.5162,14.5501,https://corona.hydro-it.com/
100,Brazil,"Belo Horizonte, Brasilia, Curitiba, Recife, Rio de Janeiro, Fortaleza",,-14.235,-51.9253,https://app.powerbi.com/view?r=eyJrIjoiNzMxYjdiZGYtZDVjNy00NTMwLWIwZmItYmQwOWJhNzk3YmU1IiwidCI6Ijc1NmU3MTc4LTA1ZmYtNGVmYy05OTY2LTU2ODFlNjE2MjA3MCJ9&pageName=ReportSectiond497bb36400a320db4c7 
101,Turkey,,,38.9637,35.2433,https://covid19.tarimorman.gov.tr/ 
102,USA,,Michigan,42.7325,-84.5555,"https://www.michigan.gov/coronavirus/0,9753,7-406-98163_98173-573480--,00.html "
103,Canada,Guelph,Ontario,43.5327,80.2262,https://news.uoguelph.ca/2019-novel-coronavirus-information/u-of-g-covid-19-wastewater-report/
104,USA,"Ann Arbor, Ypsilanti, Jackson, Flint ",Michigan ,42.2808,-83.743,https://umich-wbe.shinyapps.io/sars-cov-2_dash/ 
